CloneID,SBK1,SBK2,SBK3,SAK1,SAK2,SAK4
100088701,1,0,NA,0,NA,NA
100088720,1,0,NA,0,NA,NA
100088734,1,NA,NA,0,0,NA
100088741,1,0,NA,0,NA,NA
100088751,1,0,NA,0,NA,NA
100088786,1,0,NA,0,NA,NA
100088792,1,0,NA,0,NA,NA
100088796,1,0,NA,0,NA,NA
100088800,0,1,NA,1,NA,NA
100088839,1,0,NA,2,NA,NA
100088845,1,NA,NA,0,0,NA
100088865,0,1,NA,1,NA,NA
100088897,1,1,0,1,1,NA
100088930,1,0,NA,0,NA,NA
100088938,1,0,NA,0,NA,NA
100088949,0,1,NA,1,NA,NA
100089008,1,0,NA,0,NA,NA
100089096,1,0,NA,0,NA,NA
100089128,1,0,NA,0,0,0
100089148,1,1,NA,0,NA,NA
100089156,1,0,NA,0,NA,NA
100089178,1,0,NA,0,NA,NA
100089183,0,1,NA,1,NA,1
100089186,0,0,1,0,NA,NA
100089190,0,0,NA,1,NA,NA
100089197,0,1,NA,1,NA,1
100089217,1,0,NA,0,NA,NA
100089228,1,1,NA,0,NA,NA
100089254,0,1,NA,1,NA,NA
100089285,1,NA,NA,0,0,0
100089295,0,1,NA,1,NA,NA
100089299,1,0,NA,0,NA,NA
100089364,1,0,NA,0,NA,NA
100089420,1,0,NA,1,NA,NA
100089459,1,0,NA,0,NA,0
100089488,1,1,NA,0,NA,NA
100089493,1,0,NA,0,NA,NA
100089583,1,0,NA,0,NA,NA
100089593,0,1,NA,0,NA,NA
100089600,1,0,NA,0,NA,NA
100089619,0,0,1,0,NA,NA
100089643,1,0,NA,0,NA,NA
100089646,1,1,NA,0,0,NA
100089653,0,1,NA,0,NA,NA
100089722,1,0,NA,0,NA,NA
100089723,0,1,NA,1,NA,NA
100089779,1,0,NA,0,NA,NA
100089793,1,1,NA,0,NA,NA
100089830,0,1,NA,1,NA,NA
100089860,1,0,NA,1,NA,NA
100089876,0,1,NA,1,NA,NA
100089903,1,0,NA,0,NA,NA
100089934,1,0,NA,0,NA,NA
100089935,0,1,NA,1,NA,NA
100089938,1,0,NA,0,NA,NA
100089984,1,0,NA,0,NA,NA
100090019,1,1,0,1,NA,NA
100090047,1,0,NA,0,NA,NA
100090073,1,0,NA,0,NA,NA
100090095,1,1,NA,0,NA,NA
100090114,0,1,NA,1,NA,NA
100090115,1,0,NA,0,NA,NA
100090129,1,0,NA,0,NA,NA
100090152,1,0,NA,0,0,NA
100090178,1,0,NA,0,NA,NA
100090222,0,0,1,0,NA,0
100090230,1,1,0,NA,NA,NA
100090244,0,1,NA,1,NA,1
100090247,0,1,NA,1,NA,NA
100090277,0,1,NA,1,NA,NA
100090337,1,0,NA,0,NA,0
100090339,0,1,NA,1,NA,NA
100090363,1,0,NA,0,NA,NA
100090380,1,0,NA,0,NA,NA
100090453,1,0,NA,0,NA,NA
100090457,1,1,NA,0,NA,NA
100090473,1,0,NA,0,NA,0
100090486,0,1,NA,1,NA,NA
100090499,1,0,NA,0,NA,NA
100090527,1,0,NA,0,NA,NA
100090535,0,1,NA,1,NA,NA
100090567,1,0,NA,0,NA,NA
100090569,0,1,NA,1,NA,NA
100090578,1,0,NA,0,NA,0
100090585,1,0,NA,0,NA,0
100090611,0,1,NA,1,NA,NA
100090630,1,0,NA,0,NA,NA
100090677,1,NA,NA,0,NA,0
100090678,1,0,NA,0,NA,NA
100090697,0,1,NA,1,NA,NA
100090700,0,1,NA,1,NA,NA
100090725,1,0,NA,0,NA,NA
100090744,1,0,NA,0,NA,NA
100090755,1,0,NA,0,NA,0
100090762,0,1,NA,1,NA,NA
100090768,0,0,NA,1,NA,NA
100090826,0,1,NA,1,NA,NA
100090838,1,0,NA,0,0,NA
100090844,0,0,NA,1,NA,NA
100090855,1,0,NA,0,NA,NA
100090873,1,0,NA,0,NA,NA
100090898,2,0,0,0,NA,NA
100090900,1,0,NA,0,NA,NA
100090903,1,0,NA,0,NA,NA
100090907,0,1,NA,1,NA,NA
100090912,0,1,NA,1,NA,NA
100090924,0,1,1,1,NA,NA
100091004,0,1,NA,1,NA,1
100091063,0,1,1,1,NA,NA
100091065,1,0,NA,0,NA,NA
100091071,1,0,NA,0,NA,NA
100091084,0,1,NA,1,NA,1
100091131,1,0,NA,0,NA,NA
100091134,0,1,NA,1,NA,NA
100091150,1,1,NA,0,NA,NA
100091178,1,0,NA,0,NA,NA
100091200,0,1,NA,1,NA,NA
100091213,0,1,NA,1,NA,NA
100091214,0,1,NA,1,NA,NA
100091215,1,0,NA,0,NA,NA
100091231,1,2,NA,0,NA,NA
100091275,1,0,NA,0,NA,NA
100091276,1,1,0,1,NA,NA
100091282,0,1,NA,0,NA,NA
100091288,0,1,NA,1,NA,NA
100091313,0,1,NA,1,NA,NA
100091384,0,1,NA,0,NA,NA
100091419,0,0,1,0,NA,NA
100091421,1,0,NA,0,NA,NA
100091447,0,1,1,1,NA,NA
100091475,1,1,0,1,NA,NA
100091490,0,1,NA,1,NA,NA
100091563,1,0,NA,0,NA,NA
100091594,0,1,NA,1,NA,NA
100091604,1,1,0,1,NA,NA
100091647,1,1,0,1,NA,NA
100091648,0,2,NA,1,NA,0
100091668,1,0,NA,0,NA,0
100091716,1,0,NA,0,NA,0
100091717,0,1,NA,1,NA,NA
100091724,0,0,1,0,0,0
100091738,0,1,NA,1,NA,NA
100091753,0,0,1,0,NA,NA
100091758,1,2,NA,2,0,NA
100091770,1,1,0,1,NA,NA
100091779,0,1,NA,1,NA,NA
100091795,1,0,NA,0,NA,NA
100091801,1,0,NA,0,NA,NA
100091813,0,1,1,1,NA,NA
100091819,1,0,NA,0,NA,NA
100091824,1,0,NA,0,NA,NA
100091872,1,1,NA,0,NA,NA
100091877,1,0,NA,0,NA,NA
100091881,1,0,NA,0,NA,NA
100091892,1,0,NA,0,NA,NA
100091893,0,1,NA,1,NA,NA
100091901,0,0,NA,1,0,0
100091913,0,1,NA,1,NA,NA
100091946,0,NA,NA,1,NA,1
100091966,1,1,NA,0,NA,NA
100091978,0,1,NA,0,NA,NA
100091998,1,0,NA,0,NA,NA
100092006,1,0,NA,0,NA,NA
100092033,0,1,1,1,NA,NA
100092088,1,0,NA,0,NA,NA
100092093,1,0,NA,1,NA,0
100092105,1,1,0,1,NA,NA
100092107,1,0,NA,0,NA,NA
100092121,0,1,NA,1,NA,NA
100092127,1,0,NA,1,NA,NA
100092134,1,0,NA,0,0,NA
100092141,1,0,NA,0,NA,NA
100092143,1,0,NA,0,NA,NA
100092158,1,0,NA,0,NA,NA
100092161,1,0,NA,0,NA,NA
100092175,1,0,NA,0,NA,NA
100092182,1,2,NA,1,1,0
100092189,1,0,NA,0,NA,NA
100092194,1,0,NA,0,NA,NA
100092216,0,0,NA,1,NA,NA
100092239,1,0,NA,0,NA,NA
100092273,1,0,NA,0,NA,NA
100092292,1,0,NA,0,NA,NA
100092306,1,0,NA,0,NA,NA
100092337,1,0,NA,0,NA,NA
100092355,0,1,NA,1,NA,NA
100092365,1,0,NA,2,NA,NA
100092408,1,0,NA,0,NA,NA
100092416,1,0,NA,0,NA,NA
100092418,1,0,NA,0,NA,0
100092451,1,0,NA,0,NA,NA
100092488,1,0,NA,0,NA,NA
100092505,0,0,NA,1,NA,NA
100092521,0,NA,NA,1,1,1
100092562,0,1,NA,0,NA,NA
100092612,1,0,NA,0,NA,NA
100092616,0,1,NA,1,NA,NA
100092622,1,0,NA,0,NA,NA
100092627,0,1,NA,1,NA,NA
100092660,0,0,NA,1,NA,NA
100092679,1,0,NA,0,NA,NA
100092703,1,1,0,0,NA,NA
100092724,1,0,NA,0,NA,NA
100092787,0,1,NA,0,NA,NA
100092838,0,1,NA,1,NA,NA
100092840,1,0,NA,0,NA,NA
100092888,0,1,NA,1,NA,1
100092903,0,1,NA,1,NA,NA
100092911,0,0,1,NA,0,NA
100092925,1,0,NA,0,0,NA
100092940,1,0,NA,0,NA,0
100092952,0,1,NA,1,NA,NA
100092963,1,0,NA,0,NA,NA
100092997,1,0,NA,0,NA,NA
100093015,0,1,NA,1,1,NA
100093024,1,0,NA,0,NA,NA
100093050,0,1,NA,0,NA,NA
100093091,0,1,NA,1,NA,NA
100093117,0,1,NA,0,NA,NA
100093135,1,0,NA,0,NA,NA
100093179,0,1,NA,1,NA,NA
100093187,1,0,NA,0,NA,NA
100093214,1,0,NA,0,NA,NA
100093232,1,0,NA,0,NA,NA
100093278,1,1,NA,0,NA,NA
100093282,1,0,NA,0,NA,NA
100093316,0,NA,1,1,NA,NA
100093349,1,1,0,1,NA,NA
100093352,1,0,NA,0,NA,0
100093356,1,0,0,NA,NA,NA
100093362,1,1,NA,0,NA,NA
100093389,0,1,NA,1,NA,NA
100093539,1,0,NA,0,NA,NA
100093577,1,0,NA,0,NA,NA
100093606,0,1,NA,1,NA,NA
100093608,0,1,NA,1,NA,NA
100093668,1,0,NA,0,NA,NA
